"nama";"stok";"lokasi";"jenis";"created_at";"updated_at"
"Iron (II) Chloride";"250,00";"Rak Besi";"Padat";\N;\N
"Mangan Sulfat (MnSO4)";"1000,00";"Rak Besi";"Padat";\N;\N
"Mercury (II) Sulfate";"50,00";"Rak Besi";"Padat";\N;\N
"Pottasium Cromate";"1000,00";"Rak Besi";"Padat";\N;\N
"Propylene Paraben";"1000,00";"Rak Besi";"Padat";\N;\N
"Sodium Oxalate (Na2C2O4)";"2000,00";"-";"Padat";\N;"2024-08-10 18:31:33"
"C6H6O2 Hidrokuinon";"50,00";"Rak Besi";"Padat";\N;\N
"D-Glucose Monohydrate";"1000,00";"Rak Besi";"Padat";\N;\N
"Maltosa";"1000,00";"Rak Besi";"Padat";\N;\N
"Asam Silicat";"1000,00";"Rak Besi";"Padat";\N;\N
"Lactose Broth";"500,00";"Rak Besi Stok";"Padat";\N;\N
"EMB Agar";"500,00";"Rak Besi Stok";"Padat";\N;\N
"BGLB";"500,00";"Rak Besi Stok";"Padat";\N;\N
"Muller Hinton Agar";"500,00";"Rak Besi Stok";"Padat";\N;\N
"Simon Citrate Agar";"500,00";"Rak Besi Stok";"Padat";\N;\N
"Trypthone Soya Broth";"500,00";"Rak Besi Stok";"Padat";\N;\N
"Nutrient Agar";"500,00";"Rak Besi Stok";"Padat";\N;\N
"Metyl Morfin";"500,00";"Rak Besi";"Padat";\N;\N
"Oleum Cacao";"500,00";"Rak Besi";"Padat";\N;"2024-08-10 18:33:44"
"P Amadup";"40,00";"Rak Besi";"Padat";\N;\N
"Gum Arabicum";"1000,00";"Rak Besi";"Padat";\N;\N
"2-propanol pro analisis";"250,00";"Rak Besi + Rak Besi Stok";"Cair";"2024-04-22 22:55:08";"2024-04-22 22:55:08"
"amonium molibdat pro analisis";"100,00";"Rak Stok (Kayu Putih)";"Padat";"2024-04-22 22:57:26";"2024-04-22 22:57:26"
"Anilin";"100,00";"Rak Besi + Rak Besi Stok";"Cair";"2024-04-22 22:58:07";"2024-04-22 22:58:07"
"asam nitrit";"500,00";"Rak Besi + Rak Besi Stok";"Cair";"2024-04-22 23:31:22";"2024-04-22 23:31:22"
"asetaldehid pro analisis";"500,00";"Rak Besi + Rak Besi Stok";"Cair";"2024-04-22 23:32:34";"2024-04-22 23:32:34"
"buffer salmiak";"100,00";"Rak Besi + Rak Besi Stok";"Cair";"2024-04-22 23:37:30";"2024-04-22 23:37:30"
"Calsium Lactat";"1000,00";"Rak Stok (Kayu Putih)";"Padat";"2024-04-22 23:53:22";"2024-04-22 23:53:22"
